epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,255.328,1.39711,1.65361,1.10059,0.60118,0.38602,0.40848,0.23933,1.24445,1.04426,1.03453,0.000302798,0.000302798,0.000302798
2,429.153,1.29505,1.15724,1.0718,0.5608,0.52829,0.50547,0.29335,1.17909,0.9359,1.03667,0.000593804,0.000593804,0.000593804
3,593.431,1.26159,1.0326,1.06071,0.55165,0.51024,0.51022,0.29557,1.16587,0.89921,1.02192,0.00087281,0.00087281,0.00087281
4,765.881,1.21969,0.95293,1.04698,0.59623,0.5275,0.5616,0.34174,1.11079,0.83524,1.00904,0.000855005,0.000855005,0.000855005
5,934.715,1.18379,0.89684,1.03794,0.60234,0.59056,0.60498,0.37123,1.08187,0.79928,1.00273,0.000837007,0.000837007,0.000837007
6,1114.33,1.16672,0.86931,1.02777,0.64738,0.5453,0.61347,0.37532,1.10342,0.77368,1.01303,0.000819009,0.000819009,0.000819009
7,1307.09,1.14352,0.83435,1.0207,0.62897,0.58191,0.63459,0.38569,1.05787,0.74965,0.99294,0.000801011,0.000801011,0.000801011
8,1511.11,1.12218,0.80524,1.01187,0.61331,0.61225,0.64571,0.39199,1.04842,0.72448,0.99339,0.000783013,0.000783013,0.000783013
9,1679.73,1.10705,0.7855,1.00741,0.64686,0.6492,0.67845,0.4188,1.02317,0.70141,0.98838,0.000765014,0.000765014,0.000765014
10,1848.78,1.09288,0.7689,1.00031,0.7265,0.58591,0.66891,0.4207,1.03847,0.70757,0.9926,0.000747016,0.000747016,0.000747016
11,2018.21,1.07744,0.75529,0.99434,0.73229,0.63376,0.67637,0.42497,1.01214,0.68007,0.97805,0.000729018,0.000729018,0.000729018
12,2307.5,1.06487,0.73738,0.9922,0.73208,0.62228,0.6906,0.43677,0.99841,0.663,0.97833,0.00071102,0.00071102,0.00071102
13,2670.59,1.05776,0.72068,0.99104,0.75365,0.61771,0.7005,0.44605,1.01059,0.65147,0.9765,0.000693022,0.000693022,0.000693022
14,2897.44,1.04316,0.7163,0.98609,0.73217,0.6516,0.72134,0.45696,0.97692,0.63916,0.96989,0.000675023,0.000675023,0.000675023
15,3140.52,1.0344,0.70463,0.97937,0.78774,0.66065,0.73877,0.48117,0.96383,0.62937,0.96667,0.000657025,0.000657025,0.000657025
16,3394.21,1.03202,0.69486,0.97929,0.81395,0.65849,0.75894,0.48822,0.95617,0.61574,0.96234,0.000639027,0.000639027,0.000639027
17,3658.55,1.02032,0.68731,0.97637,0.75209,0.6735,0.73112,0.46642,0.96246,0.62216,0.96223,0.000621029,0.000621029,0.000621029
18,3920.3,1.01536,0.67999,0.97288,0.7922,0.69245,0.75862,0.49334,0.95016,0.60882,0.95999,0.000603031,0.000603031,0.000603031
19,4170.6,1.00761,0.67468,0.96992,0.75749,0.7099,0.76147,0.49721,0.94114,0.6019,0.95796,0.000585032,0.000585032,0.000585032
20,4416.86,0.99332,0.6544,0.96312,0.73139,0.71164,0.75534,0.49308,0.94109,0.59757,0.95424,0.000567034,0.000567034,0.000567034
21,4662.47,0.99779,0.662,0.96704,0.80626,0.70094,0.77512,0.50759,0.93226,0.58974,0.95304,0.000549036,0.000549036,0.000549036
22,4910.44,0.98009,0.6425,0.95974,0.83216,0.71206,0.78811,0.52352,0.92013,0.57568,0.94993,0.000531038,0.000531038,0.000531038
23,5156.42,0.97518,0.63792,0.95758,0.83049,0.68314,0.79219,0.52238,0.91806,0.57296,0.94475,0.00051304,0.00051304,0.00051304
24,5400.41,0.96801,0.6362,0.95716,0.81092,0.69078,0.77954,0.51259,0.92099,0.57385,0.94663,0.000495041,0.000495041,0.000495041
25,5643.49,0.96044,0.62953,0.95524,0.82736,0.72112,0.80092,0.5332,0.91525,0.56736,0.94588,0.000477043,0.000477043,0.000477043
26,5886.22,0.95052,0.62045,0.95085,0.84086,0.707,0.78595,0.52007,0.90662,0.55809,0.94325,0.000459045,0.000459045,0.000459045
